eventtype_identifier;date;id;eventtype;timestamp
eventA;2024-02-08 15:45:30;1;A;1
eventA;2024-02-08 15:45:31;2;A;2
eventA;2024-02-08 15:45:32;3;A;3
eventA;2024-02-08 15:45:33;4;A;4
eventA;2024-02-08 15:45:34;5;A;5
eventA;2024-02-08 15:45:35;6;A;6
eventA;2024-02-08 15:45:36;7;A;7
eventA;2024-02-08 15:45:37;8;A;8
eventA;2024-02-08 15:45:38;9;A;9
eventA;2024-02-08 15:45:39;10;A;10
eventA;2024-02-08 15:45:40;11;A;11
eventA;2024-02-08 15:45:41;12;A;12
eventA;2024-02-08 15:45:42;13;A;13
eventA;2024-02-08 15:45:43;14;A;14
eventA;2024-02-08 15:45:44;15;A;15
eventA;2024-02-08 15:45:45;16;A;16
eventA;2024-02-08 15:45:46;17;A;17
eventA;2024-02-08 15:45:47;18;A;18
eventA;2024-02-08 15:45:48;19;A;19
eventA;2024-02-08 15:45:49;20;A;20
eventA;2024-02-08 15:45:50;21;A;21
eventA;2024-02-08 15:45:51;22;A;22
eventA;2024-02-08 15:45:52;23;A;23
eventA;2024-02-08 15:45:53;24;A;24
eventA;2024-02-08 15:45:54;25;A;25
eventA;2024-02-08 15:45:55;26;A;26
eventA;2024-02-08 15:45:56;27;A;27
eventA;2024-02-08 15:45:57;28;A;28
eventA;2024-02-08 15:45:58;29;A;29
eventA;2024-02-08 15:45:59;30;A;30
eventA;2024-02-08 15:46:00;31;A;31
eventA;2024-02-08 15:46:01;32;A;32
eventA;2024-02-08 15:46:02;33;A;33
eventA;2024-02-08 15:46:03;34;A;34
eventA;2024-02-08 15:46:04;35;A;35
eventA;2024-02-08 15:46:05;36;A;36
eventA;2024-02-08 15:46:06;37;A;37
eventA;2024-02-08 15:46:07;38;A;38
eventA;2024-02-08 15:46:08;39;A;39
eventA;2024-02-08 15:46:09;40;A;40
eventA;2024-02-08 15:46:10;41;A;41
eventA;2024-02-08 15:46:11;42;A;42
eventA;2024-02-08 15:46:12;43;A;43
eventA;2024-02-08 15:46:13;44;A;44
