eventtype_identifier;date;id;eventtype;timestamp
eventA;2024-02-08 15:45:30;1;A;1
eventA;2024-02-08 15:45:31;2;A;2
eventA;2024-02-08 15:45:32;3;A;3
eventA;2024-02-08 15:45:33;4;A;4
eventA;2024-02-08 15:45:34;5;A;5
eventA;2024-02-08 15:45:35;6;A;6
eventA;2024-02-08 15:45:36;7;A;7
eventA;2024-02-08 15:45:37;8;A;8
eventB;2024-02-08 15:45:38;9;B;9
eventB;2024-02-08 15:45:39;10;B;10
eventB;2024-02-08 15:45:40;11;B;11
eventB;2024-02-08 15:45:41;12;B;12
eventB;2024-02-08 15:45:42;13;B;13
eventB;2024-02-08 15:45:43;14;B;14
eventB;2024-02-08 15:45:44;15;B;15
eventB;2024-02-08 15:45:45;16;B;16
eventC;2024-02-08 15:45:46;17;C;17
eventC;2024-02-08 15:45:47;18;C;18
eventC;2024-02-08 15:45:48;19;C;19
eventC;2024-02-08 15:45:49;20;C;20
eventC;2024-02-08 15:45:50;21;C;21
eventC;2024-02-08 15:45:51;22;C;22
eventC;2024-02-08 15:45:52;23;C;23
eventC;2024-02-08 15:45:53;24;C;24
eventD;2024-02-08 15:45:54;25;D;25
eventD;2024-02-08 15:45:55;26;D;26
eventD;2024-02-08 15:45:56;27;D;27
eventD;2024-02-08 15:45:57;28;D;28
eventD;2024-02-08 15:45:58;29;D;29
eventD;2024-02-08 15:45:59;30;D;30
eventD;2024-02-08 15:46:00;31;D;31
eventD;2024-02-08 15:46:01;32;D;32
